parent_ID;authorization_ID
e357bdf2-a4f9-4654-b785-7af03a7e3db7;988e8628-ef4b-435c-a7fb-d0b96a86a3e2
d873b451-bba0-4ba6-b136-d757547c3419;0af6b53c-de96-4d5a-8041-881f4fd7bee9
c7764f0b-61e4-4f34-b220-baf071317f6d;27b1c769-4230-41b3-823c-f3bb270e90d6
d9da57a7-742e-430b-ab85-56d313838da3;8030f629-8630-48d8-85e8-e92f81c69d63
813f8c47-959c-47ab-887b-d0174299a76f;382cc178-133a-408b-9dfe-09c564138ed0
98851122-4a96-43b6-9400-dd5d90e75861;988e8628-ef4b-435c-a7fb-d0b96a86a3e2
1183f91f-1d46-489f-9f94-ff04dc530036;732c61e0-68e5-43a6-a3d8-9a49330f9714
79ed016c-9599-40ee-b842-cab4eea2aa55;f8ded613-b3c2-49eb-afc2-f23dd4852c22
9ddb21eb-6f3f-4d49-9f4b-325f9a4e093c;0af6b53c-de96-4d5a-8041-881f4fd7bee9
0e7feb68-27e6-40c3-8beb-c89b04417fd5;9c684d2d-7662-4286-ab2b-d76f7207dd0e
90d2d743-7663-43a8-9afb-d33b1553db31;ec2715c1-df28-456b-9d14-cdd6a7440d19
17a69d5c-e772-42c6-bfd1-ff182dc7bc2c;40af1618-6bc9-425f-bb25-83aa6f9934c0
813f8c47-959c-47ab-887b-d0174299a76f;10553e63-29d5-474b-8b54-5286ab2adf43
5114b293-0928-4c3e-9062-3129c8e1569f;27b1c769-4230-41b3-823c-f3bb270e90d6
1233b2b7-369b-4366-b4e5-210dc3942ab6;8fa09e71-ea6a-4de9-8574-386775251961
1de786c8-56d1-4f29-99f4-a36587f15e76;1d7a0817-0632-4abb-ac76-5069efdb6f27
27c823c0-d67b-406d-af30-52305020bc6c;b2faf48e-b3b1-4f6e-abbf-2d9214349429
1fe42b27-10c0-4616-aac5-d34959d0e75a;33e425b3-e1a5-4f63-815f-5b0c02f3658f
2705d03e-44e1-46ed-a6e0-1577835a179d;0310dc1e-fbfc-407c-8928-12b8aeb07609
ca4eb1a1-0a0e-4761-8694-8391fd6deefb;5ccddb1e-67f1-4144-ac05-ea847f396f50
e0b754a8-eef3-4991-8313-54048079b2e8;6e788a22-3d62-4fa3-ae1c-fb9785dd9401
532962ab-8868-4f73-bd25-dc65df19b5d4;01478640-e90f-4f31-a368-4be3fef439ea
1a8b4f57-d98b-4c18-ae38-dff8d6ff6828;cde79a3c-c15f-4ef8-a82d-42f7e9a718cd
f4c8a0ab-df86-481b-9f98-73b119f4a3bd;8030f629-8630-48d8-85e8-e92f81c69d63
1a8b4f57-d98b-4c18-ae38-dff8d6ff6828;382cc178-133a-408b-9dfe-09c564138ed0
ca4eb1a1-0a0e-4761-8694-8391fd6deefb;988e8628-ef4b-435c-a7fb-d0b96a86a3e2
fed0604f-7425-4fc8-b55a-753c1b78e704;732c61e0-68e5-43a6-a3d8-9a49330f9714
ef148242-afd0-4ff2-83f9-81c75eafd79b;0af6b53c-de96-4d5a-8041-881f4fd7bee9
4947af3c-1acd-4360-83e0-a763afda13cb;40af1618-6bc9-425f-bb25-83aa6f9934c0
3121bec2-4045-4bdd-aed5-8feabea125a0;8fa09e71-ea6a-4de9-8574-386775251961
50c72df7-b0ff-40e9-a18b-189f0b561770;1d7a0817-0632-4abb-ac76-5069efdb6f27
d873b451-bba0-4ba6-b136-d757547c3419;6e788a22-3d62-4fa3-ae1c-fb9785dd9401
83d1b9dd-3208-4f26-ac4b-48e64f5901e6;01478640-e90f-4f31-a368-4be3fef439ea
d10d7277-41cb-4bd3-970b-d075455e655e;1d7a0817-0632-4abb-ac76-5069efdb6f27
50c72df7-b0ff-40e9-a18b-189f0b561770;732c61e0-68e5-43a6-a3d8-9a49330f9714
d27f9c87-ebf6-424a-a28d-d063beef9567;ec2715c1-df28-456b-9d14-cdd6a7440d19
3e34cfea-8b9f-4db4-bf63-6fb3ef4470f1;b2faf48e-b3b1-4f6e-abbf-2d9214349429
3cd164a5-5cfc-47f6-a24e-05fe74fbeca4;8fa09e71-ea6a-4de9-8574-386775251961
d873b451-bba0-4ba6-b136-d757547c3419;0310dc1e-fbfc-407c-8928-12b8aeb07609
3b972cac-3131-4a41-9487-d9bf3a235170;33e425b3-e1a5-4f63-815f-5b0c02f3658f
