ID;name
b3c341c2-a02f-4d6a-967f-e6971e9c0949;Google
87f3bbe4-e71d-4998-bd17-b4dec17c05b4;Microsoft
76238315-9e6d-4510-9f90-ae3bfdae95d1;Facebook
aa603632-7a87-4a9c-8546-9aebaf271c14;Amazon
021658f8-ba7a-43af-bcbf-328257668ddb;Apple
2bb8df92-11d0-426e-8f5f-08eb30d5f085;LinkedIn
18544c62-ef58-47cb-a7b7-5f89b09859f9;Twitter
f9a7bd9b-56c3-491a-8711-52b91c6ae641;Salesforce
db16ed9b-fc63-4c29-9dd0-f766ddb2d5a3;Adobe
4be23a93-fb79-49f3-8954-1a61b934a91e;Oracle
2e0589cc-060d-4d28-971b-f58f1fee0675;IBM
f21a0407-2c30-4674-a595-bc20c23b15ef;SAP
b1242ac2-61c4-47da-a6d0-c11892ff0965;GitHub
29ca28d4-02c2-4fb2-8e9a-cd939a19dc60;Atlassian
493799a1-b010-4bf7-bf90-ca304d5e0645;Slack
eaf8ca28-d07f-497e-a97d-25689b287cbe;Dropbox
c15fb8a5-55cc-48ff-8ca0-d5e5d2337a5b;Zoom
45eaef2b-2aa9-40c9-944e-6ed1398784ab;Spotify
74804a1c-033d-4e30-9f1c-2a9e050086e8;Netflix
0155dc5d-ced8-4386-addc-a9ee1297ed25;PayPal
